review_body,star_rating
A beautiful space to relax  heal and enjoy Lan Sabai is a special place worth visiting.,5
A true Oasis in the south of Phuket. A small resort where you can refresh your soul and replenish your body. An excellent place to come and do some selfcare and relax. Super service tailored to your needs  great food served and close to so many places if you want to explore the island. Lisa and her team are a true customer centric team looking after all your needs.,5
I have had the pleasure of hosting events and upcoming retreats at Lan Sabai and both the space and the atmosphere have blown me away every time. It’s private  luxurious and so well taken care of. I highly recommend you either booking your stay here or leading your next retreat here.,5
A perfect place to live with natural  great service  thing you need just around area like beach  shopping most important is best place to relax your soul. Wish you were here.,5
If you ever need a getaway from the concrete jungle  Lan Sabai is the perfect place! Tucked away from all the hustle and bustle of Phuket  you will find this gem hidden between the mountains of Rawai.Once you arrive  you feel as though you are instantly stepping into another world! Decorated with great homeware items by the sustainable brand Yoshiko Home (you should also check them out!); you’ll be pampered with a Bali-Style Villa that will make you feel like a GOD!I recommend this resort to everyone  and it is worth every penny! PLUS  you even receive a wonderful goodbye box when leaving so you can take a piece of Lan Sabai home with you!Come recharge your battery here  they have the best juice 😉,5
Stunning room  one of the most unique rooms in the Sai Yuan area. Peaceful place highly recommended if you're looking for a peaceful experience,5
Lan Sabai  perfectly tucked away from the hustle and bustle  is a boutique resort nestled in nature. Featuring 8 exclusive rooms showcasing sophisticated  sustainable and contemporary decor by Yoshiko Homeware. A visit is enriched with the opportunity to participate in holistic activities and events  where you can further your growth  by listening and learning  from a diverse range of guest speakers. Your stay is complimented with organic food to keep your vibration high. Overall a clean  safe and relaxing atmosphere with friendly staff to go with it. We thoroughly enjoy our visits and staycations at this uplifting and gorgeous little oasis. Highly recommended! xo,5
A really great staycation spot for some chill-out time! We came for the weekend and absolutely loved the peaceful vibe and beautiful rooms decorated with tasteful  natural furnishings. We started our Saturday morning off with our own meditation by the pool to the sounds of the trickling water and birds  before joining Lan Sabai's Saturday Tai Chi  which exceeded all expectations. We left Lan Sabai feeling rested and relaxed  knowing that we'd soon be back for an overnight stay or to join one of the many great soul-focused activities that they host 😊,5
Nice place recommended to come there,5
Great place to work and relax. Spacious rooms  luxurious and well equipped. Large pool very suitable for a good swim. Friendly staff. Great possibilities for meetings  assessments and exercises. Located in the laid-back area in the south of Phuket  Thailand,5
I had a wonderful week at this amazing resort. It's a place to unwind and have a good time. The staff were very friendly and helpful  ensuring our stay was comfortable and enjoyable! The rooms are spacious  beautifully designed  and decorated with amazing pieces from Yoshiko Homeware  and most importantly  the beds are very comfortable. The bathrooms are also beautiful and well-equipped. We started each day with a delicious breakfast featuring organic fruits from the garden! The pool is large  and my room had direct access to it  which was fantastic. The rooms on the first floor offer a stunning view! The host was warm and welcoming  organizing various activities for us  such as a boat trip and a guided tour of the elephant sanctuary. I also participated in a workshop here  which was very engaging! This place is a hidden gem where you feel secure and at ease. I highly recommend it to anyone looking to unwind and have a wonderful time. I wish I could have stayed here for many more weeks  I truly enjoyed it to the fullest!,5
Enjoyed last week. Felt incredibly good  just like at home  but in a beautiful resort with a beautiful room  ditto bathroom and a lovely swimming pool. Very hospitable and customer-oriented reception. Top! Definitely go back!,5
Beautiful resort with a nice swimming pool. Rooms were super clean and very nice. Very helpful and nice staff who speak English.,5
A top resort in the south of Phuket. An oasis of peace with every luxury.,5
Lisa's welcome was exceptional and the resort is a real little paradise. The place is ideal for organizing a group stay. The rooms are spacious  impeccably clean and decorated with great taste! I can't wait to organize another stay at Lansabai!,5
Lisa is a wonderful person & hostess. We really enjoyed our time in this incredible little paradise. Rooms were spacious & lovely furnished with @Yoshiko Home. A retreat resort with top notch facilities I highly recommend.,5
A beautiful luxury resort where you can fully recharge. The rooms are beautifully decorated in Yoskiho style with a luxurious bathroom. There is a lot to experience and discover on the island of Phuket. If you want to recharge  there is a large swimming pool and a spa in the resort. I often think back to LanSabai  the peace and quiet and the wonderful temperature. Lisa is a great hostess.,5
Amazing location! High quality service  clean rooms  loved the swimming pool and the delicious food. Highly recommended.,5
Sublime location where we and our management team were able to spend a wonderful week. The combination of good working conditions (fast Wi-Fi and a beautiful workspace)  good food and Lisa as a host who arranges everything down to the last detail is unique. Highly recommended to teams that have something to celebrate  want to end the year or want to retreat for a while.,5
Beautiful location and excellent services. Lisa is an excellent hostess.Beautiful swimming pool and many excursion options.,5
A little haven. Lisa is an excellent host who takes care of everything. Fluent in English and Dutch. Seamless and hugely enjoyable experience. Highly recommended.,5
Some time ago an invitation arrived on my online doorstep in which I was invited by the owner of Lan Sabai to book a week of me-time in her new retreat resort on Phuket. Without having to think long  I booked the trip.What a treat to be able to feel that warmth  especially in our autumnal November. Plus to meet other inspiring stories and people in a wonderful setting. Lan Sabai is such a beautiful resort with 8 identical rooms where you will become zen within 5 minutes. No stimuli from TV or other tourists  you can completely relax by the pool or in the spacious room of 44m2 that is fully equipped.Your room has a kettle and coffee maker and is beautifully furnished with home accessories from @yoshiko. In short  a high-end resort where we are spoiled to the core with healthy food  yoga classes  master classes and some fantastic trips around the island.I would say book your week of me-time. If you are a coach or want to do something special with friends  then this resort is definitely recommended.,5
A little paradise in the south of Phuket :-),5
Such a beautiful place  perfect for enjoying a relaxing time in a natural environment away from the chaos of Patong. The staff are attentive and polite. Don't miss out on the yoga activities; it was an interesting experience for me. A place worth visiting and revisiting.,5
"I'm the CEO of a New York-based integrative medicine company and consulting services  with thousands of clients from around the world seeking advice on the best places to book long stays for their healing journey.I traveled the world to search for those places  here is my experience when I walked into Sentosa.The spa is absolutely unprofessional  unorganized  and truly disappointing. I cringe as I recall the experience of walking into their empty spa management office.The management is sadly dysfunctional and ineffective. I'm not sure how they have the nerve to charge top dollars and provide service that is so low grade.Their manager was saying that ""their advertising wasn't working "" and yet they turn away top-paying customers when they walk in.What a backwards way of thinking.I walked in (because no one replied to my WhatsApp messages to request a booking). I was ready to book 9 800+ Thai baht treatments over the course of 3 days  but was turned away by the manager  saying their masseuse doesn't want to work. She had to literally beg the masseuse to work for them. Ridiculous.The masseuse appears to be an independent contractor that they bring from outside  and she gave me the feeling that she was doing me a big favor :) She definitely didn't look like she was interested in providing any services. The manager really did nothing to assist or to secure that treatment booking.To sum it up  instead of walking into the greatest  most healing pampering experience as you would expect a spa that charges 1 000TB for each service  I found myself in a very uncomfortable  somewhat humiliating situation.Not a very good way to increase the bottom line of this establishment's owner financial health.I gave them more than one chance and left my phone number and suggested they contact me if their masseuse decides that she wants to work. The manager assured me that they will  but it's been 3 days and I have yet to hear back from them. Sigh.Do yourself a favor  find yourself another place  don't waste your time and effort.This experience was truly disappointing because the place has such great potential that goes to waste.Sadly  I do not recommend.In contrast  the restaurant upstairs deserves many compliments from staff to food choices to the chef who is extraordinary. The restaurant team is professional  well-organized  always ready to serve healthy  delicious  nutritious meals.",1
I felt like the whole set up was a complete rip off. I didn't even get a room at the resort but was placed in a room 500 meters from the resort. They couldn't care less about me and their dedication was way below par. I left after two days feeling completely disillusioned. Loads of money for an absolutely poor program. Please don't go here.,1
Santosa Wellness resort has been an outstanding experience for me and my mom. This is my 3rd full / juice fasting retreat in Thailand and I am so happy to have chosen this new location for me. One of the best parts of the retreat is the thoughtful  caring  professional and almost family like approach of all staff. They are organized  everything is under control  yet they remain flexible. At the end of our 8 day fast  I had too much mucus plaque to call is quits  so decided to continue – Sheryl has allowed me to continue doing 1 more colonics and given me the last implant home with take away final food.||One day we went out and skipped some program parts  the staff has allowed us to postpone the massage with no charge and did a special 2 hour session for my mom the next day.|The staff at the restaurant are absolutely fantastic. While we didn’t manage to enjoy much for the food  we had our last dinner before fast and it was beyond delicious  fresh  beautiful. We had multiple teas / day though during our fast and all choices were delicious. The fruit juices that my mom was given was fresh and very tasty  made with love. 2 coconut juices helped to keep our electrolytes in check.|Colonics were well organized and the facilities for it were great – you could take a shower after and everything was super clean and well run. |Ice bath was one of the highlights  along with steam back helped to revive at night. |One of the highlights was the training / fitness program – the resort had a variety of professional high quality trainers that taught very fun classes like Zumba  aerial yoga  Nidra yoga  fit ball  breathing. Its important to keep active during your fasting days and having so many options (3 classes / week day and 2 / weekend)  it an excellent way to keep your mind off your fast!|There was also a gym which we never got to use  but its an option as well.|The service is fantastic  the views from the restaurant for sunset and sunrise were stunning and I can’t be more happier.|WE also had a great trip to Big Buddha organized by the center and daily trip to the beach. Overall  it’s a 10 start experience  above and beyond my expectation. The whole program is very well thought out and can be catered individually. |This is a gem of a complete detox and wellness center which I am so grateful for discovering. Compared to other options  I found it to be the best price to quality offering. The rooms for the resort are also nice and very affordable with incredible views for the sunrise.|I am very sad to leave and I definitely want to come back!,5
Santosa Wellness resort has been an outstanding experience for me and my mom. This is my 3rd full / juice fasting retreat in Thailand and I am so happy to have chosen this new location for me. One of the best parts of the retreat is the thoughtful  caring  professional and almost family like approach of all staff. They are organized  everything is under control  yet they remain flexible. At the end of our 8 day fast  I had too much mucus plaque to call is quits  so decided to continue – Sheryl has allowed me to continue doing 1 more colonics and given me the last implant home with take away final food.One day we went out and skipped some program parts  the staff has allowed us to postpone the massage with no charge and did a special 2 hour session for my mom the next day.The staff at the restaurant are absolutely fantastic. While we didn’t manage to enjoy much for the food  we had our last dinner before fast and it was beyond delicious  fresh  beautiful. We had multiple teas / day though during our fast and all choices were delicious. The fruit juices that my mom was given was fresh and very tasty  made with love. 2 coconut juices helped to keep our electrolytes in check.Colonics were well organized and the facilities for it were great – you could take a shower after and everything was super clean and well run.Ice bath was one of the highlights  along with steam back helped to revive at night.One of the highlights was the training / fitness program – the resort had a variety of professional high quality trainers that taught very fun classes like Zumba  aerial yoga  Nidra yoga  fit ball  breathing. Its important to keep active during your fasting days and having so many options (3 classes / week day and 2 / weekend)  it an excellent way to keep your mind off your fast!There was also a gym which we never got to use  but its an option as well.The service is fantastic  the views from the restaurant for sunset and sunrise were stunning and I can’t be more happier.WE also had a great trip to Big Buddha organized by the center and daily trip to the beach. Overall  it’s a 10 start experience  above and beyond my expectation. The whole program is very well thought out and can be catered individually.This is a gem of a complete detox and wellness center which I am so grateful for discovering. Compared to other options  I found it to be the best price to quality offering. The rooms for the resort are also nice and very affordable with incredible views for the sunrise.I am very sad to leave and I definitely want to come back!,5
The restaurant is phenomenal  many tasty raw vegan dishes and a vast variety of cold pressed juices and smoothies. The purity salad is out of this world. Calm place with a nice view. Highly recommended.,5
Very nice food every home made and they have big options vegetarian and vegan. And you can request also in vegan ,5
We did a one day relax package at 1500 baht it was exceptional value for money. All staff were lovely and very committed to health. The vegan food and juices were world class! Our package included breathwork  meal and juice  a massage and a hot sauna and ice plunge. A very full day. I did a healing treatment with Karn and she was exceptional and very gifted. After having had two recent operations she identified my health issues within the first few minutes of the session and after the treatment the area that had been numb in my abdomen for over 6 months post surgery was completely gone - that’s after only one treatment and she gave me a number of things to follow up with on my return home. She is the real deal as far as “healers” go and this retreat was excellent values for money. A must try for anyone seeking health improvement!,5
I stayed at Santosa for a 3-day full detox fast  I went for 3 days as I’ve never done anything like this before.The whole experience from start to finish was just wonderful  it was surprisingly easy not to eat for 3 days. You have cleanse drinks  supplements  fresh coconut  ginger shot and an optional evening broth. A true retreat in a peaceful location.All of the team are super supportive and your days are pretty busy with lots of options of classes so there isn’t much time to think about food. Classes are completely optional though so you can have plenty of free time if you want it.Rooms are modern  spacious and very comfortable.The colema was a new experience for me and everyone was really professional.Anyone contemplating going - I recommend just to book!Shout out to the team …Sherryl helped organise the trip for me and was nothing but helpful and pleasant the entire time. I’m a customer with 100 questions and nothing was too much hassle.Stas was my program guide and yoga teacher  super informative and friendly. It was my first ever yoga class and he made me feel comfortable. I had an intro meeting and then meeting at the end to go through my results. Very educational on how to continue a clean life after a detox and cleanse.Bhupin in the kitchen was great. I didn’t get to try much food apart from my break the fast meal  but the evening Broth was great and everything else I saw coming out of the kitchen with juices and raw meal plans looked great.Jeanly  May and Belle on reception were great. Always friendly and motivating you through the day.Last but not least my masseuse was amazing. I recommend the relax massage.Always a welcoming smile from everyone when you come into the resort!Would book again. Thanks Team.,5
Really beautiful view,5
The hospitality of all staff at Santosa is impeccable. Everyone was so friendly  nice and professional. The premises were clean and the rooms comfortable. The restaurant served delicious vegan food which we tried before our 3 day juice fast. The juices served for the juice fast were tasty and varied. On top of 5 juices  we got a coconut after every colema and hot broth in the evening. There was a massage and other activities every day. With so much to do and drink we had no time to feel hungry or bored. If you're thinking of trying a detox program  don't hesitate  go to Santosa.,5
Wellness center with yoga  pilates and others. Also a restaurant with vegan menu with fantastic views,4
The employees are not friendly at all. Please train the employees. I feel very upset.,1
We did not stay in the hotel but came for the highly recommended vegan restaurant. This is the best vegan restaurant we ever had  definitely worth the trip! Kids loved it too.,5
I stayed at Santosa for 4 nights and it was a great experience. The management  staff and trainers are super friendly  welcoming and professional. The vegan food is the best I ever had  the hotel rooms are spacious  super clean with a fantastic views of the bay.If you want to escape from the busy city life  Santosa is the perfect place to workout  relax  fast and feeling home away from home.,5
Nice selection of vegan buffet. Will come again!,4
Santosa kindly reached out and offered a massage and transfer from my accommodation. The service was brilliant!On the 10th of March  we messaged Santosa through WhatsApp to inform them that we would be arriving at 6 pm on the 11th of March for an ice bath and sauna on my birthday. We arrived at 5:55 pm on March 11th but were informed that there was no ice left for the ice bath. They had not purchased enough for the evening. We were told that we needed to prebook - which we had already done. I asked if they could purchase more ice for the evening since we had taken a taxi to the spa specifically for our reservation - they said no.,5
Outstanding!!! I came for a full fast. It was above all my expectations. Having done detox centers in the US  this by far was superior. From beginning to end I wouldn’t change a thing. The night before my fast started I had a Cesar salad/sauce was cashew based and mushroom resoto. Both to die for. The center is set in the jungle with breath taking views of the ocean and giant Buddha. The program itself was fantastic. Fresh raw juices  variety of classes  The best massages (Emi was so good I extended my time)  colema (colonics)  sauna/ice bath  sprinkled with beach visits and hikes to giant Buddha. The staff is extremely accommodating. They r also efficient  knowledgeable  caring. I can’t say enough about them. I wish I could take them all home. I’m planning my next visit already. Going to end with a few days of raw food and vegetarian cooking class which I didn’t have time for this time.,5
The views of this restaurant are a dream  the service is top-notch  and the food is delicious. I will be back,5
Not a bad condo  but not the largest apartments.,5
The food was brought very quickly  everything was delicious  we will definitely come again.,5
I call it Instagram food.Though it looks really good  the food was cold and not tasty for me  small dishes and expensive.I left still hungry.,3
Such a nice and cosy place I was doing a full fasting program and it was such an amazing experience. Mainly because of the people who work there - Sherryl  May  Stas and others  they became like a family for me. So grateful 🙏🏻 Big thank you to Em - the lady who does massage  she has a gift! The best massage ever! For those interesting in detox  yoga or raw vegan food  highly recommend,5
Long time wanted to come and finally got there. 5+ stars. Very very nice and cosy place. There is calm and relaxed atmosphere  beautiful view. Food is very delicious. Who loves vegan and healthy food should definitely come and try.,5
I underwent a three-day water cleanse. I'm thrilled Such lightness in my body! It feels like I've been reborn I thought it would be difficult to endure three days of fasting  but it turned out to be the opposite. They provide food cleansing and enriching supplements  I didn't feel hungry. And there's not much time for it. Yoga twice a day  massage  sauna  pool  etc.The staff are very friendly and smiling Everything is well organized Thank you for your care I recommend it,5
Great place,5
Outstanding food. I've been vegan for 7 years now so I've eaten a lot of vegan food HahaThe chef and kitchen staff here absolutely know what they are doing.Very diverse menu  clear descriptions of what each meal / juice / smoothie contains.All good is marked Raw or Cooked which is always helpful at a raw food restaurant.I ordered a main Raw Spaghetti Pomodoro  the serving size was so generous I couldn't believe it. Only 200THB too.Seriously delicious I wanted to lick my plate 😋Fresh ingredients  very flavoursome and the presentation was on point too.The photo attached to this review is a screen shot from a video so doesn't do it justice.I am 100% coming back here and I00% recommend this Santosa  even non-vegans would love this place!,5
All in it’s just vegan heaven People are super friendly and the food is amazing,5
On Saturdays  there is also a vegan buffet here until 10 pm.,4
One of the most beautiful sunset spots on the island excellent rooms and service!,5
It's an alfresco vegan restaurant with a good view. Beware of stairs though  not for the old and frail! Dishes were definitely very healthy and tasted very healthy too.if you know what I mean. Might offend certain sensibilities but definitely worth trying at least once. I didn't have the wines because I was driving but I assume they'd make everything taste better.,5
Beautiful,5
By far the best vegan food I have tasted. The chef is amazing! I am from Miami and I have lived in Dubai; I know my gourmet vegan foods. The food and intimate hospitality were amazing. The classes were also amazing and intimate. I am excited about returning in the future!,5
Experience Delicious Vegan Buffet in Phuket.,5
Excellent place for physical and emotional detox. The staff is super professional and friendly. The food and service are excellent. Highly recommended.,5
Delicious food and very nice atmosphere.,4
The facility overall is very appealing and clean. Treatment rooms for the Colema are clean. The juice bar with a large open space to relax is beautiful. The sports offerings are diverse and very appealing as well. I especially liked the Breathwork. What wasn't good was the meditation because the woman spoke with a soft monotonous voice the whole time! That's not acceptable! It wasn't a guided meditation but rather monotonous chatter. Another issue was that there was no internet in the room because the facility is apparently divided into two parts. And in the area where the rooms are located  there was intense renovation going on. I did change rooms  but the construction noise was still clearly audible at the pool. The food was very good  excellently prepared RAW food ideas and very tasty! Unfortunately  I lost weight at the beginning but gained something in return. Having a colema twice a day  after a few days  the body starts to reject it  saying it's too much. This was the case for others as well. Not quite balanced.,1
I really like the view in the restaurant. Also all the dishes served very beautifully and everything is super healthy. Staff is friendly and I also like lots of different flavours. Choose this restaurant to celebrate my upcoming birthday!,5
"The translation of the text is: ""Grass his uncle vegetarian restaurant  grandpa climb for you""",1
I stayed at Santosa for one week from the 24th Jan on a juice only programme. Having never done anything like this before I was a little nervous as to what to expect. The staff soon put me at ease with their professionalism and calming attitudes. To name them would be unfair because I'd probably forget someone as everyone from the cleaners right through to the instructors were absolutely marvellous. After a few days I started to see and feel a real difference in myself and by the end of the week was literally full of energy and vibrance. This after fasting from food for 6 days (beautiful juices aside). When I say the whole experience was probably one of the best of my holidaying life this would be no exaggration. I'm back a week and miss it every day. Will be booking up again soon and can't recommend it enough.,5
A beautiful resort  amazing food and of course you pay for the quality  their dishes are well balanced and so delicious  if you are vegan or a person that is interested in high quality plant-based food I really recommend visiting them,5
Great vegan choices! The risotto is a vegan symphony and makes me wonder over and over again how the chef magically manages it to taste this great!,4
Although the restaurant ran out of coffee  the server made up for it by giving us a complimentary small bottle of homemade matcha green tea kombucha to go with our avocado key lime pie . delicious!,4
Best vegan restaurant in Phuket,5
Being new to detox and fasting  they were very knowledgeable in these areas. I learned a lot and felt very comfortable asking questions. They were also very accommodating to my needs and flexible with my schedule. The fitness instructors (especially Pimmy) have great energy and offer a program suitable for everyone. Their variety of juices were delicious  and their main meals looked very healthy and nutritious. My room  as well as the rest of the center  was very clean and quiet with good facilities and amazing views of the sea in the distance. I never found myself wondering what to do next as the program was clear  and the small detox activities didn't overwhelm me  leaving me with time for myself. The evenings were quiet with opportunities to watch a film. The location was perfect  quiet with clean air. More activities are a short car ride away or accessible with the free transport.,5
Everything is very delicious! Whole grain bread with hummus  very well seasoned & Chia pudding with apple  coconut & cinnamon delightful,5
Just because it's a vegan place - I give it a 4. And for the service. The guy was very polite and changed the purple sour kombucha to a non-sour one). The food is very mediocre  I had a bowl and rolls. Well. not very good at all. The presentation is beautiful  though.,4
Lovely vegan food. Had the Zen Bowl and the chocolate mousse. Just delicious and the service was amazing too staff very helpful and friendly.,5
I thought this was an absolutely great restaurant. Firstly  the location at the top of the hill is fantastic. The view was spectacular. Also  all the staff were charming and friendly and the service was great. Then you could see the sheer joy on the face of the chef as she watched customer's faces lighting up as they saw the food  which was magnificently presented. Furthermore  the food was seriously delicious and innovative. I am an avid meat and fish eater but I left feeling 110% satisfied. Would recommend to anyone.,5
Many vegan and raw delicious dishes,5
This place was incredible. We traveled to Phuket with a vegan friend and finding this place was like heaven. The menu options were so varied and everything was absolutely delicious. We were there after sunset and the frog chorus was pretty intense  so that's the only thing I would keep in mind.,5
Had two sessions of yoga daily  one as a class and the other as a private session. Every yoga session was enriching with experienced yoga teachers  Stas  Denis and a lady who taught Yin. Love especially the Arial yoga! The other classes like mindful meditation and TRX were invigorating perfect mix in between yoga sessions.|Not forgetting the wonderful relaxing daily massage. That's something not to be missed.|Since departure from the retreat  had missed the tasty and Instagram-worthy food! Every dish is delectable. |The room was amazingly big and clean with a good view. |Thanks to all the friendly staff in Santosa who had made this retreat comfortable and memorable. I'll definitely return!,
Very nice  quality and tasty vegan food. I was amazed.,5
Raw and vegan meal  sauna  yoga and pool. But no air conditioning,4
Our 5-days yoga retreat was the best decision ever. Santosa is the perfect mix between healthy movement  healthy eating and a healthy mind  and on top of that  they have the friendliest and most helpful staff! Stas and Dennis are excellent yoga teachers  and with Stas  we even got to try new yoga styles such as Aerial and Acro Yoga - so much fun! Additionally  they offered incredibly insightful morning talks on nutrition  detoxification  and meditation  from which we learned a lot! Shrene's smile and cheerful demeanor brightened our day. The vegan food - whether for breakfast  lunch  or dinner - was some of the best we've ever had! We already miss the place and will definitely come back!,
Food was absolutely fantastic  the smoothies were the best I've ever had. The all you can eat buffet was plentiful and diverse. Will return,5
Great. Vegan restaurant. Very healthy,5
If you love food then you must eat here.||The menu is fantastic and everything on offer is a taste sensation.||So much so that we have now begun to order the food online with foodio. ||I have had a pizza delivered that was so tasty and for a gluten free  dairy free  meat free pizza  I would put up there with one of the best I have had. And guilt free.||Well done Santosa.,
Fantastic gourmet vegan food. Do a monthly vegan meet up with 4 course meal  very inventive raw vegan courses. Amazingly tasty and healthy,5
I wanted to try the Coconut Yogurt. Theirs is better than the one I make. I wonder how they do it?,5
The food is alright but nothing special. We were the only ones there and we struggled to get their attention and it’s a little more expensive than other places. Such a shame because it could be an amazing location.,3
Best place to rehabilitate! Amazing vegan restaurant too. Pai was a champion!,5
Amazing place. A bustling health center  people from all over the world come here  mostly from Asian countries  to practice yoga and detox. 200 baht with a taxi and you're at the sea (or 300 if you order from reception) they have a sauna  spa center  workshop center  restaurant  rooms  and juice bar. We only dined at the restaurant. The food is completely vegan  the service is amazing  the place is sparkling  the food is tasty and fresh  amazing vegan cheeses  and everything tastes good  with a stunning view of the sea and the huge statue of the Big Buddha on the mountain in front. We will definitely come back sometime  even if not for detox and yoga workshops  we will come to eat in the future.,5
A bit overpriced for the spa usage and the gym is small with missing free weights and not much variety. Very clean though and is close to our location  so practical as well.,3
Excellent healthy food. Large menu both cooked and raw food.,5
The accommodation was extremely expensive. We ended up not doing a detox. We couldn't leave there quickly enough.,2
The best vegan buffet on the island,5
"It's time to debunk another myth about proper nutrition. If we talk about this place as a restaurant  about the quality of service  the beauty of dish presentation  the waiting time. it's not at all at a restaurant level  but a Thai eatery with ""horse"" prices for shredded vegetables in various forms.Well  the service and presentation are okay  the place itself is very beautiful  sunsets  gazebos  trees all around. sets a romantic mood. But the food  the main reason people go to a restaurant - to eat deliciously  try new recipes  and unexpected culinary delights. Here  everything is not tasty  and we tried about 12 dishes  all the same  with sour lemon sauces poured over everything  even in the shakes and smoothies.Gentlemen restaurateurs  proper nutrition is not just beautifully cut vegetables. It's a concept  it's beautiful presentation  it's delicious dishes with a twist.I wouldn't recommend it to anyone  don't fall for the advertising and beautiful photos of dishes  in reality  it's a rip-off and a waste of money(((. Spaghetti carbonara - 220 baht  in fact  thinly sliced zucchini for 20 baht/piece with a sour sauce.",1
Great complex and procedures. I was at a one-day detox  everything was very enjoyable  various activities and pleasant staff. Cool restaurant with a sea view and a very interesting selection of vegan dishes. I recommend ),5
Great vegan food !!,5
I spent 3 wonderful days  very good teacher and a good support team  good advice and good follow-up  very good massages  very good raw vegan cuisine  juice bar. I highly recommend,5
The nice restaurant with good vegan and raw vegan food.,5
Great complex  beautiful view  vegan restaurant overlooking the sea!,5
The Santosa restaurant is located on the hill of a mountain  the dining room has spectacular views of Karon.The staff is attentive and friendly  and the menu is very extensive and with a quite surprising variety for a restaurant where all dishes are vegan.My experience was very enriching and my palate enjoyed the different flavors of the chosen dishes.The plate with different types of cheese was spectacular  it would be hard for me to decide which one was my favorite. It was accompanied by lentil sprouts  apples  and pomegranate seeds.As for the main dishes  the same  a large quantity and a very enriching fusion of flavors.Without a doubt  a restaurant where one will enjoy like a child.I will repeat.,5
Excellent team. Great healthy eats. Great massage. Can't wait to return for more.,5
Outstanding food in a beautiful setting  and excellent service. Vegan menu with plenty of options and a great assortment of juice mixes and smoothies. The vegan cheese are incredibly tasty.,5
I had the best meal and the best service thus far in Thailand. Keep up the good work,5
It is a place where they promote health  yoga classes  and the instructors are very good  professional  and with a very good vibe  the vegan juices and food are delicious  some of the best I have tried  the sauna is amazing and the detox treatment highly recommended  one of the distinctive features of the place and all with wonderful views. I highly recommend it.,5
Amazing vegan foods and drinksNice atmosphereNice viewNice place,5
Great vegan food beautifully presented with an angelic view  well worth the trip down to the south of the island.BTW Very beautifully designed menu!,5
Great place. Everything is very tasty. | We visited the restaurant in March. All dishes are delicious  the food is organic. The main thing is tasty and healthy. We recommend this place to everyone who follows a healthy lifestyle. Oh  and here you can contemplate the delightful sunset!,5
